"","sorted_reads.bam"
"100048701",9
"100048884",20
"100048895",0
"100048985",6
"100049077",1
"100049161",0
"100049166",1
"100049545",0
"100049546",0
"100049547",0
"100049548",0
"100049549",0
"100049710",0
"100049711",0
"100049712",0
"100049713",0
"100049714",0
"100049715",0
"100061",7
"100066",0
"100072",16727
"100073351",55
"100087",248
"100088",350
"100090",285
"100093700",0
"100093714",1
"100101457",15
"100101484",24
"100101486",0
"100101488",0
"100101489",0
"100101491",0
"100101806",3635
"100101807",832
"100101919",264
"100101934",0
"100101936",4
"100101939",0
"100101940",0
"100101941",0
"100101942",0
"100102",96
"100113364",0
"100113365",2865
"100113394",0
"100113398",27
"100113411",0
"100113412",0
"100113413",0
"100113414",3
"100113481",0
"100114900",0
"100114901",1
"100114902",0
"100114904",0
"100115376",0
"100118398",0
"100121",1713
"100123473",16
"100124287",0
"100124288",0
"100124293",1
"100124294",0
"100124295",0
"100124296",0
"100124297",0
"100124333",0
"100124335",0
"100124336",0
"100124337",0
"100124338",0
"100124339",0
"100124340",0
"100124341",0
"100124342",0
"100124343",0
"100124344",0
"100124345",0
"100124346",0
"100124347",0
"100124348",0
"100124349",0
"100124351",0
"100124352",0
"100124353",0
"100124354",0
"100124355",0
"100124356",0
"100124357",0
"100124358",0
"100124359",0
"100124360",0
"100124361",0
"100124362",1
"100124363",0
"100124364",0
"100124365",0
"100124366",1
"100124367",0
"100124368",0
"100124369",0
"100124370",0
"100124371",0
"100124372",0
"100124387",0
"100124388",0
"100124389",0
"100124390",0
"100124391",0
"100124392",0
"100124393",0
"100124395",0
"100124396",0
"100124397",0
"100124398",0
"100124399",0
"100124400",0
"100124431",0
"100124432",0
"100124433",1
"100124435",0
"100124437",0
"100124438",2
"100124439",4
"100124440",0
"100124441",0
"100124442",0
"100124443",0
"100124445",0
"100124446",0
"100124447",0
"100124448",0
"100124449",0
"100124450",1
"100124451",0
"100124452",0
"100124453",1
"100124456",0
"100124457",0
"100124458",0
"100124459",0
"100124460",0
"100124461",0
"100124462",0
"100124463",0
"100124464",0
"100124465",0
"100124466",0
"100124467",0
"100124468",0
"100124469",0
"100124470",0
"100124471",0
"100124473",0
"100124474",0
"100124475",0
"100124476",0
"100124478",0
"100124479",0
"100124480",0
"100124481",0
"100124482",0
"100124483",0
"100124484",9
"100124485",0
"100124486",0
"100124487",0
"100124488",0
"100124489",0
"100124491",2
"100124492",0
"100124493",0
"100124494",15
"100124495",0
"100124496",0
"100124623",3
"100124624",0
"100124625",0
"100124626",0
"100124627",0
"100124640",0
"100124641",331
"100124642",0
"100124643",0
"100124649",0
"100124659",0
"100124660",2
"100124661",0
"100124662",0
"100124663",0
"100124664",0
"100124665",0
"100124668",0
"100124670",0
"100124671",0
"100124672",0
"100124673",0
"100124674",1
"100124675",1
"100124676",0
"100124677",0
"100124678",1
"100124679",0
"100124680",0
"100124681",0
"100124682",0
"100124684",0
"100124685",0
"100124686",0
"100124687",0
"100124688",0
"100124689",0
"100124690",0
"100124693",0
"100124694",0
"100124698",0
"100124699",0
"100125246",0
"100125247",0
"100125248",0
"100125249",0
"100125250",0
"100125251",0
"100125252",0
"100125253",0
"100125254",0
"100125255",7
"100125256",1
"100125257",19
"100125258",1
"100125259",0
"100125260",1
"100125261",15
"100125262",66
"100125263",312
"100125339",7
"100125586",1
"100125594",0
"100125929",16
"100125931",23
"100125933",27
"100126034",17
"100126203",0
"100126224",0
"100126226",0
"100126227",22
"100126229",28
"100126242",7
"100126243",136
"100126244",2
"100126269",0
"100126431",0
"100126432",0
"100126433",0
"100126434",0
"100126451",0
"100126452",0
"100126454",0
"100126455",0
"100126456",1
"100126457",0
"100126458",0
"100126459",0
"100126460",0
"100126461",0
"100126462",0
"100126463",0
"100126464",0
"100126465",0
"100126466",0
"100126469",0
"100126470",0
"100126471",0
"100126472",0
"100126692",0
"100126765",0
"100126766",0
"100126768",0
"100126773",0
"100126774",0
"100126775",0
"100126776",0
"100126777",0
"100126778",0
"100126779",0
"100126795",18
"100126824",0
"100127111",14
"100127433",0
"100129",691
"100134861",0
"100134990",49
"100135654",0
"100135657",0
"100141474",81
"100151693",0
"100155",26
"100163",196
"100165",0
"100169",477
"100169864",5
"100169868",20
"100169871",9
"100169874",17
"100169878",9
"100169889",0
"100170401",0
"100174921",1
"100177",1360
"100182",165
"100188919",4
"100189605",0
"100190765",0
"100191037",0
"100196896",0
"100198",297
"100201",2426
"100206",467
"100210",178
"100213",5424
"100216343",60
"100216455",5
"100216474",0
"100216530",2
"100216531",0
"100216532",5
"100216533",4
"100216534",40
"100216535",1
"100216536",2
"100216537",4
"100216538",0
"100216539",30
"100216540",1
"100217413",4
"100217414",0
"100217415",0
"100217416",13
"100217417",4
"100217418",0
"100217419",8
"100217420",18
"100217421",1
"100217422",0
"100217423",10
"100217424",0
"100217425",0
